,"[('der', 'gen'), ('der', 'usd'), ('ent', 'ent')]","[['der', 'der', 'ent']]","[['der', 'ent'], ['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['der', 'ent'], ['gen', 'act']]","[['der', 'ent'], ['gen', 'act']]","[['der', 'ent']]","[['usd', 'der', 'ent']]","[['usd', 'ent'], ['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent'], ['usd', 'ent']]","[['usd', 'ent']]",act,ent,label
2516,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2517,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2518,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2519,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2520,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2521,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2522,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2523,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2524,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2525,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2526,6,5,1,6,4,2,6,2,1,3,6,14,Uncertain
2527,2,1,0,1,2,2,2,0,1,1,2,6,Trusted
2528,4,2,0,2,4,2,4,0,2,2,4,9,Trusted
2529,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2530,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2531,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2532,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2533,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2534,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2535,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2536,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2537,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2538,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2539,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2540,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2541,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2542,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2543,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2544,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2545,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2546,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2547,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2548,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2549,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
2550,6,4,0,5,5,2,9,0,5,4,9,13,Trusted
2551,5,5,2,4,4,1,5,1,1,3,5,12,Trusted
2552,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2553,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
2554,0,0,0,3,7,0,0,0,1,4,5,10,Uncertain
2555,4,4,0,4,4,2,8,0,4,4,8,11,Trusted
2556,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2557,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2558,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
2559,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2560,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2561,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2562,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2563,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2564,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2565,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2566,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2567,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2568,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2569,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2570,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2571,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2572,11,7,2,17,11,2,10,6,1,10,17,34,Trusted
2573,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2574,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2575,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2576,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2577,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2578,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2579,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2580,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2581,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2582,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2583,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2584,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
2585,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2586,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2587,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2588,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2589,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2590,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2591,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2592,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2593,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2594,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2595,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2596,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2597,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2598,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2599,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2600,6,5,0,7,6,2,7,0,5,4,9,16,Uncertain
2601,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2602,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2603,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2604,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2605,14,12,1,11,13,2,14,2,4,8,14,29,Trusted
2606,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2607,15,12,1,16,9,2,15,1,3,8,15,30,Trusted
2608,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2609,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2610,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2611,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2612,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2613,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2614,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2615,13,9,1,13,8,2,13,5,1,7,13,25,Trusted
2616,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2617,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2618,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2619,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2620,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2621,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2622,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2623,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2624,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2625,12,4,0,5,12,2,9,0,5,5,10,20,Trusted
2626,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2627,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2628,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2629,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2630,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2631,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2632,4,2,0,3,3,2,5,0,3,2,5,9,Uncertain
2633,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2634,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2635,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2636,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2637,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2638,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2639,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2640,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2641,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2642,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2643,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2644,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2645,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2646,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
2647,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2648,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2649,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2650,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2651,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2652,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2653,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2654,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2655,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2656,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2657,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2658,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2659,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2660,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2661,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2662,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2663,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
2664,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2665,4,1,0,1,4,2,2,0,1,1,2,8,Trusted
2666,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2667,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2668,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2669,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2670,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2671,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2672,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2673,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2674,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2675,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2676,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2677,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2678,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2679,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2680,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2681,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2682,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2683,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2684,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2685,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2686,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2687,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2688,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2689,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2690,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2691,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2692,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2693,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2694,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2695,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2696,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2697,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2698,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2699,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2700,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2701,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2702,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2703,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2704,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
2705,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2706,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2707,10,10,0,10,10,2,20,0,10,10,20,23,Trusted
2708,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2709,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2710,13,11,1,14,8,2,13,2,2,7,13,27,Trusted
2711,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2712,59,26,2,54,24,2,33,1,2,19,34,89,Trusted
2713,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2714,13,9,1,13,8,2,14,5,2,7,14,25,Trusted
2715,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
2716,10,7,1,6,10,2,9,0,4,5,9,20,Trusted
2717,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2718,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2719,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2720,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2721,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2722,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2723,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2724,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2725,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2726,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2727,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2728,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
2729,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2730,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2731,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2732,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2733,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2734,22,17,1,22,14,2,21,5,2,12,21,42,Trusted
2735,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2736,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2737,4,6,1,5,4,2,7,1,2,4,7,13,Trusted
2738,10,7,3,19,13,2,10,6,2,11,19,38,Trusted
2739,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2740,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2741,7,11,1,9,7,2,12,2,3,7,12,21,Trusted
2742,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2743,20,15,1,21,15,2,18,5,5,11,21,41,Uncertain
2744,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2745,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2746,14,13,1,16,9,2,16,1,3,9,16,30,Trusted
2747,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2748,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
2749,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2750,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2751,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
2752,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2753,8,11,1,10,7,2,12,3,2,7,12,22,Trusted
2754,9,9,1,10,7,2,13,3,3,7,13,21,Trusted
2755,14,10,1,14,9,2,15,5,2,8,15,27,Trusted
2756,3,6,1,4,4,2,7,0,3,4,7,12,Trusted
2757,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2758,14,13,2,15,10,2,16,5,2,9,16,30,Trusted
2759,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2760,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2761,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2762,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2763,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2764,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2765,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2766,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2767,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2768,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2769,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2770,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2771,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2772,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2773,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2774,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2775,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2776,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2777,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2778,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2779,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2780,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2781,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2782,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2783,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2784,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2785,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2786,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2787,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2788,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2789,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2790,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2791,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2792,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2793,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2794,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2795,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2796,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2797,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2798,2,3,0,3,2,2,2,0,1,1,2,8,Uncertain
2799,2,3,0,3,2,2,2,0,1,1,2,8,Uncertain
2800,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2801,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2802,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2803,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2804,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2805,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2806,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2807,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2808,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2809,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2810,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2811,9,6,1,8,6,2,7,2,1,4,7,18,Trusted
2812,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2813,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2814,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2815,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2816,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2817,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2818,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2819,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2820,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2821,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2822,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2823,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2824,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2825,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2826,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2827,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2828,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2829,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2830,28,15,2,27,13,2,21,3,1,11,21,46,Trusted
2831,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2832,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2833,8,8,1,9,6,2,11,3,2,6,11,19,Trusted
2834,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2835,12,11,1,14,7,2,12,1,1,7,12,26,Trusted
2836,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2837,47,25,4,44,23,2,31,3,1,18,32,76,Trusted
2838,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2839,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2840,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2841,12,11,1,14,7,2,12,1,1,7,12,26,Trusted
2842,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2843,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2844,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2845,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2846,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2847,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2848,13,8,2,18,11,2,12,7,1,10,18,34,Trusted
2849,13,9,1,13,8,2,13,5,1,7,13,25,Trusted
2850,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2851,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2852,16,13,1,18,9,2,16,3,1,9,16,32,Trusted
2853,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2854,5,6,1,6,4,2,7,2,1,4,7,14,Trusted
2855,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2856,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2857,24,15,2,24,12,2,20,3,1,11,20,42,Trusted
2858,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2859,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2860,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2861,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
2862,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2863,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
2864,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2865,17,13,1,18,11,2,17,3,3,10,18,34,Trusted
2866,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2867,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2868,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2869,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2870,23,11,1,15,18,2,17,5,3,9,17,37,Trusted
2871,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2872,2,0,0,1,1,2,1,0,1,0,1,5,Uncertain
2873,12,4,0,5,12,2,9,0,5,5,10,20,Trusted
2874,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2875,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2876,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2877,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2878,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2879,16,10,1,11,14,2,15,2,5,8,15,29,Trusted
2880,35,7,2,29,37,2,14,10,3,16,29,71,Uncertain
2881,11,7,1,8,9,2,9,3,1,5,9,21,Trusted
2882,2,5,1,3,3,2,5,0,2,3,5,10,Trusted
2883,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2884,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2885,27,11,1,17,20,2,18,6,3,9,18,41,Trusted
2886,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2887,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2888,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2889,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2890,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2891,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2892,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2893,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2894,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2895,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2896,5,5,0,5,5,2,10,0,5,5,10,13,Trusted
2897,3,3,0,3,3,2,6,0,3,3,6,9,Trusted
2898,5,3,0,4,4,2,7,0,4,3,7,11,Uncertain
2899,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2900,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2901,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2902,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2903,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2904,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2905,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2906,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2907,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2908,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2909,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2910,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2911,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2912,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2913,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2914,2,3,0,3,2,2,2,0,1,1,2,8,Uncertain
2915,1,4,1,2,2,2,3,0,1,2,3,8,Trusted
2916,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2917,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2918,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2919,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2920,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2921,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2922,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2923,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2924,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2925,9,3,0,3,9,2,6,0,3,3,6,15,Trusted
2926,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2927,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2928,3,1,0,1,3,2,2,0,1,1,2,7,Trusted
2929,0,0,0,0,0,2,0,0,0,0,0,3,Uncertain
2930,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2931,9,6,1,4,10,2,7,0,3,4,7,18,Trusted
2932,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2933,6,3,0,3,6,2,6,0,3,3,6,12,Trusted
2934,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2935,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2936,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2937,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2938,7,7,1,8,5,2,9,3,1,5,9,17,Trusted
2939,27,20,1,29,13,2,20,1,1,12,20,50,Trusted
2940,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2941,1,1,0,1,1,2,2,0,1,1,2,5,Trusted
2942,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
2943,2,2,0,2,2,2,4,0,2,2,4,7,Trusted
